loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,cred_hist_years,application_type,loan_status
20000,36 months,27.15,818.11,F,F4,10+ years,RENT,77900.0,Not Verified,debt_consolidation,17.26,0,650,654,1,13,0,500.0,6.5,31,1,0,20.2,Individual,0
20000,36 months,29.94,848.37,G,G3,2 years,MORTGAGE,99700.0,Verified,credit_card,17.99,0,610,614,1,8,0,15400.0,77.4,19,3,0,12.2,Individual,1
5000,36 months,26.32,202.31,F,F2,3 years,RENT,83900.0,Not Verified,credit_card,30.52,0,675,679,0,9,0,20300.0,77.8,28,0,0,16.7,Individual,0
12000,36 months,20.81,450.93,E,E1,10+ years,MORTGAGE,49400.0,Source Verified,debt_consolidation,27.36,3,750,754,1,11,0,2100.0,23.7,20,5,0,17.1,Individual,0
7500,36 months,20.11,279.15,D,D5,10+ years,OWN,81500.0,Verified,debt_consolidation,16.74,0,735,739,0,8,1,10400.0,73.2,20,0,0,17.2,Individual,0
25000,36 months,24.5,987.4,E,E5,2 years,RENT,66100.0,Verified,debt_consolidation,21.67,0,690,694,1,18,0,9400.0,64.8,27,0,0,19.8,Individual,1
15000,60 months,24.93,439.65,E,E5,10+ years,MORTGAGE,67900.0,Not Verified,small_business,15.33,0,720,724,1,8,0,6900.0,69.3,22,4,0,11.8,Individual,0
10000,36 months,23.13,387.78,E,E3,2 years,MORTGAGE,75800.0,Not Verified,debt_consolidation,19.56,0,700,704,1,14,0,6400.0,51.3,28,9,0,8.5,Individual,0
5000,36 months,22.57,192.43,E,E3,10+ years,MORTGAGE,56600.0,Verified,credit_card,25.82,0,720,724,1,11,0,5200.0,36.6,25,2,0,6.2,Individual,0
10000,36 months,21.68,380.25,E,E2,10+ years,MORTGAGE,51400.0,Not Verified,debt_consolidation,19.31,0,720,724,3,8,0,5200.0,76.0,23,6,0,10.5,Individual,0
10000,60 months,25.71,297.69,F,F2,10+ years,MORTGAGE,44600.0,Verified,home_improvement,18.1,0,705,709,1,11,0,3700.0,57.3,22,3,0,18.0,Individual,0
20000,36 months,25.34,798.8,F,F1,3 years,RENT,76500.0,Source Verified,home_improvement,6.05,1,650,654,2,6,0,1600.0,34.6,17,0,0,9.9,Individual,1
15000,36 months,23.52,584.72,E,E4,10+ years,MORTGAGE,45300.0,Source Verified,credit_card,11.73,0,690,694,0,9,0,2100.0,60.5,28,5,0,10.7,Individual,0
30000,60 months,28.33,940.06,F,F5,2 years,RENT,79800.0,Not Verified,debt_consolidation,22.06,4,685,689,1,10,0,16400.0,86.6,26,0,0,20.3,Individual,1
12000,36 months,26.19,484.7,F,F2,< 1 year,RENT,88300.0,Not Verified,debt_consolidation,17.97,1,670,674,0,11,0,5400.0,66.4,24,1,0,8.7,Individual,0
7500,36 months,16.94,267.17,D,D2,2 years,RENT,192200.0,Verified,other,22.89,0,785,789,1,11,0,19900.0,75.4,20,0,0,16.8,Individual,0
20000,60 months,26.51,604.86,F,F3,5 years,MORTGAGE,91000.0,Verified,debt_consolidation,17.61,0,685,689,3,10,0,9500.0,75.0,22,4,0,9.1,Individual,1
20000,36 months,26.29,808.91,F,F2,1 year,RENT,25800.0,Verified,credit_card,14.47,1,660,664,1,13,2,3200.0,77.6,30,0,2,9.3,Individual,1
15000,36 months,28.48,624.35,F,F5,5 years,RENT,79000.0,Source Verified,other,22.18,0,635,639,1,13,1,4300.0,71.0,18,0,1,16.6,Individual,1
20000,36 months,19.65,739.71,D,D5,10+ years,MORTGAGE,114200.0,Not Verified,debt_consolidation,16.74,0,735,739,2,8,0,12700.0,63.9,32,2,0,5.7,Individual,0
15000,36 months,22.42,576.12,E,E3,1 year,RENT,47400.0,Not Verified,debt_consolidation,10.44,0,690,694,0,16,0,1800.0,57.4,25,0,0,20.8,Individual,0
15000,36 months,24.11,589.36,E,E5,6 years,MORTGAGE,97400.0,Source Verified,debt_consolidation,22.28,1,680,684,0,10,0,14400.0,58.4,20,3,0,26.0,Individual,0
12000,60 months,26.07,359.78,F,F2,5 years,MORTGAGE,78500.0,Verified,debt_consolidation,16.27,0,695,699,0,8,1,500.0,3.8,17,1,1,21.7,Individual,0
5000,36 months,22.71,192.79,E,E3,10+ years,MORTGAGE,126400.0,Verified,debt_consolidation,10.05,0,690,694,0,8,0,3600.0,39.3,19,3,0,4.4,Individual,0
7500,36 months,25.94,301.94,F,F2,< 1 year,MORTGAGE,83600.0,Verified,debt_consolidation,27.67,0,675,679,0,11,0,3200.0,12.8,23,6,0,22.0,Individual,0
5000,60 months,25.22,147.4,F,F1,3 years,OWN,61700.0,Not Verified,debt_consolidation,23.29,0,720,724,0,10,0,10400.0,88.9,17,0,0,13.5,Individual,0
15000,36 months,25.01,596.48,F,F1,5 years,RENT,66600.0,Verified,debt_consolidation,15.35,0,675,679,2,13,0,7000.0,76.9,26,0,0,22.2,Individual,1
10000,60 months,22.22,277.44,E,E2,1 year,MORTGAGE,65800.0,Verified,credit_card,13.37,0,730,734,0,11,2,4400.0,54.7,25,3,1,15.2,Individual,0
15000,36 months,25.42,599.73,F,F1,2 years,MORTGAGE,59200.0,Verified,debt_consolidation,25.64,1,680,684,1,9,0,7300.0,74.8,21,2,0,13.9,Individual,1
30000,60 months,24.31,868.45,E,E5,10+ years,RENT,32300.0,Not Verified,credit_card,12.0,0,705,709,0,11,0,3700.0,83.0,20,0,0,8.6,Individual,0
10000,60 months,20.8,269.41,E,E1,10+ years,MORTGAGE,76600.0,Verified,debt_consolidation,24.04,0,765,769,0,16,0,8300.0,37.8,25,2,0,7.8,Individual,0
12000,36 months,19.37,442.12,D,D4,10+ years,MORTGAGE,110600.0,Source Verified,debt_consolidation,26.79,0,750,754,0,14,1,9700.0,43.6,20,3,1,16.0,Individual,0
20000,36 months,16.03,703.44,D,D1,8 years,OWN,95600.0,Source Verified,other,19.65,0,780,784,2,7,0,5500.0,38.0,25,0,0,12.7,Individual,0
10000,60 months,24.81,292.4,E,E5,9 years,MORTGAGE,58800.0,Verified,other,6.2,0,705,709,0,10,0,500.0,32.1,28,4,0,19.4,Individual,0
5000,60 months,29.92,161.52,G,G3,10+ years,RENT,52800.0,Source Verified,major_purchase,29.49,0,675,679,0,15,0,8500.0,56.9,27,0,0,19.3,Individual,1
10000,36 months,22.13,382.58,E,E2,5 years,MORTGAGE,41900.0,Verified,debt_consolidation,23.87,0,725,729,0,9,0,3300.0,55.1,20,5,0,21.9,Individual,0
7500,36 months,23.13,290.83,E,E3,10+ years,MORTGAGE,34900.0,Not Verified,credit_card,17.82,0,695,699,0,12,0,1000.0,29.1,21,5,0,30.1,Individual,0
30000,36 months,24.18,1179.82,E,E5,2 years,MORTGAGE,85600.0,Not Verified,other,18.83,0,685,689,1,10,0,10700.0,77.6,24,1,0,3.8,Individual,0
25000,60 months,29.93,807.76,G,G3,5 years,MORTGAGE,68800.0,Not Verified,credit_card,13.74,0,655,659,0,15,0,2000.0,17.6,25,5,0,21.8,Individual,0
15000,36 months,25.25,598.38,F,F1,10+ years,MORTGAGE,49800.0,Verified,debt_consolidation,19.28,0,670,674,1,18,0,1500.0,33.9,30,4,0,8.2,Individual,0
25000,60 months,25.43,740.1,F,F1,4 years,MORTGAGE,78600.0,Source Verified,other,15.61,1,715,719,0,12,1,7100.0,74.7,23,3,1,14.4,Individual,1
25000,36 months,18.42,909.09,D,D3,8 years,RENT,85700.0,Not Verified,debt_consolidation,15.57,0,740,744,0,18,0,3900.0,39.3,33,0,0,24.8,Individual,0
10000,36 months,24.26,393.69,E,E5,6 years,MORTGAGE,164900.0,Not Verified,debt_consolidation,22.78,0,680,684,2,8,0,27100.0,65.2,22,4,0,6.9,Individual,1
30000,60 months,30.99,988.92,G,G5,10+ years,MORTGAGE,26600.0,Verified,debt_consolidation,29.06,0,645,649,1,11,1,2900.0,33.5,19,1,0,6.5,Individual,1
15000,36 months,24.04,588.81,E,E4,7 years,MORTGAGE,36100.0,Not Verified,debt_consolidation,10.93,0,685,689,0,12,0,800.0,27.1,21,4,0,11.3,Individual,0
25000,36 months,22.69,963.71,E,E3,10+ years,MORTGAGE,282200.0,Source Verified,debt_consolidation,16.05,0,705,709,4,15,0,8400.0,17.6,30,3,0,9.1,Individual,0
30000,60 months,25.77,894.13,F,F2,10+ years,MORTGAGE,57600.0,Not Verified,major_purchase,39.87,0,745,749,0,18,0,11100.0,60.8,35,7,0,13.3,Individual,1
10000,36 months,24.64,395.7,E,E5,10+ years,MORTGAGE,69100.0,Not Verified,credit_card,11.21,0,675,679,0,12,0,5000.0,54.2,24,3,0,20.9,Individual,0
7500,36 months,24.26,295.27,E,E5,1 year,MORTGAGE,75300.0,Verified,debt_consolidation,16.87,0,690,694,1,14,0,4500.0,38.5,26,2,0,16.5,Individual,0
10000,36 months,27.11,408.84,F,F4,9 years,RENT,40100.0,Not Verified,debt_consolidation,30.68,0,675,679,0,14,0,5600.0,49.8,29,0,0,7.1,Individual,0
12000,36 months,25.23,478.58,F,F1,10+ years,MORTGAGE,41900.0,Source Verified,home_improvement,21.76,0,685,689,0,14,0,7500.0,103.7,25,3,0,21.2,Individual,1
25000,36 months,24.01,980.95,E,E4,6 years,MORTGAGE,39700.0,Not Verified,other,28.39,0,700,704,0,10,1,5300.0,43.8,18,5,1,18.5,Individual,1
25000,36 months,23.34,972.18,E,E4,10+ years,MORTGAGE,24500.0,Not Verified,credit_card,28.53,0,705,709,2,14,0,4800.0,84.0,21,4,0,15.0,Individual,1
5000,36 months,22.42,192.04,E,E3,5 years,MORTGAGE,105800.0,Verified,debt_consolidation,17.59,0,705,709,0,10,0,11400.0,100.4,21,4,0,15.2,Individual,0
15000,60 months,23.03,423.12,E,E3,10+ years,RENT,149800.0,Source Verified,major_purchase,9.96,0,730,734,0,16,0,600.0,3.3,27,0,0,13.6,Individual,0
12000,60 months,25.07,352.71,F,F1,2 years,MORTGAGE,41200.0,Source Verified,debt_consolidation,21.33,0,720,724,0,16,1,5600.0,56.3,25,4,0,10.1,Individual,1
10000,36 months,21.83,381.03,E,E2,5 years,MORTGAGE,136300.0,Source Verified,debt_consolidation,13.17,0,705,709,1,10,0,2000.0,33.1,21,6,0,6.9,Individual,0
7500,36 months,19.91,278.38,D,D5,10+ years,MORTGAGE,78900.0,Verified,home_improvement,27.84,0,750,754,0,8,0,3100.0,38.4,18,3,0,16.7,Individual,0
10000,36 months,26.15,403.71,F,F2,< 1 year,MORTGAGE,140900.0,Verified,credit_card,16.08,0,670,674,0,8,0,6700.0,71.6,18,3,0,5.9,Individual,1
30000,60 months,29.85,967.84,G,G3,3 years,MORTGAGE,76300.0,Verified,debt_consolidation,20.39,0,665,669,0,14,2,6700.0,57.5,22,3,2,18.6,Individual,1
10000,36 months,17.74,360.22,D,D2,10+ years,MORTGAGE,103500.0,Verified,debt_consolidation,16.45,1,755,759,2,14,1,3200.0,27.2,29,2,1,15.8,Individual,0
15000,36 months,24.21,590.15,E,E5,< 1 year,RENT,79200.0,Not Verified,debt_consolidation,23.56,0,695,699,1,6,0,9500.0,115.0,13,0,0,12.2,Individual,0
20000,60 months,28.4,627.55,F,F5,10+ years,OWN,42500.0,Not Verified,debt_consolidation,20.9,0,675,679,0,12,0,500.0,0.0,22,1,0,27.0,Individual,0
12000,60 months,29.59,385.22,G,G3,3 years,MORTGAGE,72200.0,Verified,debt_consolidation,20.17,0,660,664,1,14,0,4800.0,54.1,29,1,0,18.8,Individual,1
35000,36 months,24.82,1388.26,E,E5,5 years,MORTGAGE,79500.0,Source Verified,credit_card,33.16,1,705,709,0,11,0,500.0,0.0,20,3,0,23.4,Individual,0
35000,36 months,26.82,1425.5,F,F3,10+ years,MORTGAGE,139000.0,Verified,debt_consolidation,38.39,1,690,694,0,9,0,13400.0,74.8,23,8,0,16.5,Individual,1
10000,36 months,20.07,371.99,D,D5,10+ years,OWN,80400.0,Not Verified,credit_card,31.59,0,750,754,0,11,0,8500.0,33.4,20,0,0,12.0,Individual,0
15000,60 months,30.99,494.46,G,G5,8 years,MORTGAGE,35200.0,Not Verified,major_purchase,19.5,0,635,639,1,11,0,2600.0,61.2,26,5,0,10.1,Individual,1
10000,36 months,26.46,405.36,F,F3,2 years,MORTGAGE,49200.0,Verified,debt_consolidation,20.59,0,670,674,0,8,1,1500.0,40.5,20,6,1,12.8,Individual,0
10000,60 months,18.86,258.64,D,D4,< 1 year,MORTGAGE,97400.0,Source Verified,home_improvement,22.52,0,800,804,0,11,0,10000.0,108.9,25,2,0,10.9,Individual,0
5000,60 months,21.59,136.93,E,E2,< 1 year,RENT,48100.0,Source Verified,debt_consolidation,12.99,0,735,739,0,15,1,1800.0,61.4,26,1,1,7.8,Individual,0
15000,36 months,21.61,569.83,E,E2,10+ years,RENT,56600.0,Source Verified,major_purchase,32.08,0,740,744,0,10,0,5500.0,49.5,23,0,0,16.0,Individual,0
15000,36 months,24.67,593.78,E,E5,10+ years,RENT,64500.0,Verified,credit_card,23.4,1,685,689,1,15,0,3000.0,40.1,27,0,0,4.0,Individual,1
5000,36 months,20.53,187.17,E,E1,7 years,OWN,23600.0,Not Verified,home_improvement,20.48,0,735,739,0,11,0,2200.0,65.1,25,1,0,13.5,Individual,0
10000,36 months,19.58,369.5,D,D4,10+ years,RENT,71900.0,Not Verified,debt_consolidation,20.99,0,745,749,1,14,0,7800.0,51.4,27,0,0,17.4,Individual,0
30000,36 months,18.19,1087.43,D,D3,3 years,MORTGAGE,130500.0,Not Verified,credit_card,14.24,1,745,749,4,9,0,3200.0,40.4,25,4,0,14.4,Individual,0
10000,36 months,19.96,371.43,D,D5,4 years,RENT,18000.0,Verified,debt_consolidation,19.79,0,740,744,1,9,0,800.0,24.3,20,1,0,3.0,Individual,0
7500,36 months,25.98,302.1,F,F2,10+ years,MORTGAGE,53700.0,Not Verified,debt_consolidation,35.75,1,690,694,2,12,0,7700.0,50.3,25,4,0,9.2,Individual,1
15000,36 months,27.97,620.21,F,F5,8 years,RENT,29300.0,Source Verified,credit_card,11.92,1,635,639,0,14,0,3000.0,77.9,32,0,0,30.5,Individual,1
